Ref,Val,Package,PosX,PosY,Rot,Side
"V 1.0","PinSocket_2x08_P2.54mm_Vertical","PinSocket_2x08_P2.54mm_Vertical",159.515000,-81.950400,0.000000,top
"zatchbot","LPC Breakout","PinSocket_2x08_P2.54mm_Vertical_SMD",139.575000,-90.975000,0.000000,top
